Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       66     0.00     0.00  fmt::v8::basic_string_view<char>::basic_string_view<std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.00     0.00       66     0.00     0.00  spdlog::sinks::ansicolor_sink<spdlog::details::console_mutex>::print_range_(fmt::v8::basic_memory_buffer<char, 250ul, std::allocator<char> > const&, unsigned long, unsigned long)
  0.00      0.00     0.00       66     0.00     0.00  spdlog::details::fmt_helper::append_string_view(fmt::v8::basic_string_view<char>, fmt::v8::basic_memory_buffer<char, 250ul, std::allocator<char> >&)
  0.00      0.00     0.00       66     0.00     0.00  fmt::v8::detail::buffer<char>::data() const
  0.00      0.00     0.00       66     0.00     0.00  pRPL::SpaceDims::nCols() const
  0.00      0.00     0.00       66     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000l> >::count() const
  0.00      0.00     0.00       66     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000l> >::duration<long, void>(long const&)
  0.00      0.00     0.00       65     0.00     0.00  fmt::v8::detail::buffer<char>::data()
  0.00      0.00     0.00       63     0.00     0.00  pRPL::SpaceDims::nRows() const
  0.00      0.00     0.00       60     0.00     0.00  pRPL::CellCoord::CellCoord(pRPL::CellCoord const&)
  0.00      0.00     0.00       58     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.00     0.00       58     0.00     0.00  std::_List_iterator<pRPL::Layer>::operator++(int)
  0.00      0.00     0.00       57     0.00     0.00  pRPL::SpaceDims::~SpaceDims()
  0.00      0.00     0.00       56     0.00     0.00  int& std::forward<int&>(std::remove_reference<int&>::type&)
  0.00      0.00     0.00       55     0.00     0.00  pRPL::CellCoord::CellCoord(long, long)
  0.00      0.00     0.00       54     0.00     0.00  fmt::v8::basic_format_context<fmt::v8::appender, char>::advance_to(fmt::v8::appender)
  0.00      0.00     0.00       54     0.00     0.00  fmt::v8::basic_format_context<fmt::v8::appender, char>::out()
  0.00      0.00     0.00       54     0.00     0.00  fmt::v8::detail::buffer<char>& fmt::v8::detail::get_container<fmt::v8::detail::buffer<char> >(std::back_insert_iterator<fmt::v8::detail::buffer<char> >)
  0.00      0.00     0.00       54     0.00     0.00  fmt::v8::appender& fmt::v8::detail::reserve<fmt::v8::appender>(fmt::v8::appender&, unsigned long)
  0.00      0.00     0.00       54     0.00     0.00  std::integral_constant<bool, false>::operator bool() const
  0.00      0.00     0.00       54     0.00     0.00  fmt::v8::detail::get_container<fmt::v8::detail::buffer<char> >(std::back_insert_iterator<fmt::v8::detail::buffer<char> >)::accessor::accessor(std::back_insert_iterator<fmt::v8::detail::buffer<char> >)
  0.00      0.00     0.00       53     0.00     0.00  pRPL::CellspaceInfo::dims() const
  0.00      0.00     0.00       53     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      0.00     0.00       53     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.00     0.00       52     0.00     0.00  __gthread_active_p()
  0.00      0.00     0.00       52     0.00     0.00  bool fmt::v8::detail::const_check<bool>(bool)
  0.00      0.00     0.00       52     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00      0.00     0.00       51     0.00     0.00  pRPL::WeightedCellCoord::~WeightedCellCoord()
  0.00      0.00     0.00       51     0.00     0.00  std::vector<pRPL::WeightedCellCoord, std::allocator<pRPL::WeightedCellCoord> >::end()
  0.00      0.00     0.00       50     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::base() const
  0.00      0.00     0.00       49     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00      0.00     0.00       49     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00       49     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.00     0.00       49     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      0.00     0.00       48     0.00     0.00  __gnu_cxx::__normal_iterator<std::unique_ptr<spdlog::details::flag_formatter, std::default_delete<spdlog::details::flag_formatter> >*, std::vector<std::unique_ptr<spdlog::details::flag_formatter, std::default_delete<spdlog::details::flag_formatter> >, std::allocator<std::unique_ptr<spdlog::details::flag_formatter, std::default_delete<spdlog::details::flag_formatter> > > > >::__normal_iterator(std::unique_ptr<spdlog::details::flag_formatter, std::default_delete<spdlog::details::flag_formatter> >* const&)
  0.00      0.00     0.00       48     0.00     0.00  __gnu_cxx::__normal_iterator<pRPL::WeightedCellCoord const*, std::vector<pRPL::WeightedCellCoord, std::allocator<pRPL::WeightedCellCoord> > >::base() const
  0.00      0.00     0.00       46     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int>(int*, int&&)
  0.00      0.00     0.00       46     0.00     0.00  bool __gnu_cxx::operator!=<pRPL::WeightedCellCoord*, std::vector<pRPL::WeightedCellCoord, std::allocator<pRPL::WeightedCellCoord> > >(__gnu_cxx::__normal_iterator<pRPL::WeightedCellCoord*, std::vector<pRPL::WeightedCellCoord, std::allocator<pRPL::WeightedCellCoord> > > const&, __gnu_cxx::__normal_iterator<pRPL::WeightedCellCoord*, std::vector<pRPL::WeightedCellCoord, std::allocator<pRPL::WeightedCellCoord> > > const&)
